queue	lemma	cltk_upos	corpus_occurrences_upper_bound	pilot_lemma_occurrences	pilot_document_count	contributing_form_count	ambiguous_form_count	dictionary_support	dictionary_sources	dictionary_entry_count	pos_assessment	also_in_structural_stage	top_forms
common_lexeme	lanio	NOUN	4	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	5	compatible	False	"[{""form"":""lanionis"",""corpus_occurrences"":4,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	genus	NOUN	3	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	5	compatible	False	"[{""form"":""genre"",""corpus_occurrences"":3,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	nia	NOUN	3	1	1	1	0	single_source	"[""gaffiot""]"	1	unknown	False	"[{""form"":""niae"",""corpus_occurrences"":3,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	philostorgus	NOUN	2	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""philostorgum"",""corpus_occurrences"":2,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	papirianus	ADJ	2	2	2	1	0	single_source	"[""faria-v2-retificado""]"	1	compatible	False	"[{""form"":""papirianum"",""corpus_occurrences"":2,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false}]"
common_lexeme	sas	NOUN	2	1	1	1	0	single_source	"[""ls_dict""]"	1	unknown	False	"[{""form"":""sas"",""corpus_occurrences"":2,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	ago	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""latin-german"",""ls_dict""]"	7	compatible	False	"[{""form"":""agsa"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	bonus	ADJ	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""latin-german"",""ls_dict""]"	6	compatible	False	"[{""form"":""oprimi"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	cogo	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""latin-german"",""ls_dict""]"	4	compatible	False	"[{""form"":""cogiem"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	curro	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""latin-german"",""ls_dict""]"	4	compatible	False	"[{""form"":""currissem"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	facultas	NOUN	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""latin-german"",""ls_dict""]"	4	compatible	False	"[{""form"":""facultatetm"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	consumo	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""latin-german""]"	3	compatible	False	"[{""form"":""consumpsei"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	distinguo	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""latin-german""]"	4	compatible	False	"[{""form"":""disticto"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	ille	NOUN	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	5	compatible	False	"[{""form"":""illei"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	immortalis	ADJ	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	5	compatible	False	"[{""form"":""immortalies"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	incipio	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	5	compatible	False	"[{""form"":""inceptui"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	luo	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	7	compatible	False	"[{""form"":""luos"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	occupo	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	4	compatible	False	"[{""form"":""occupara"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	paro	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	10	compatible	True	"[{""form"":""paratr"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	pecunia	NOUN	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	5	compatible	False	"[{""form"":""pecunian"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	possum	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	6	compatible	False	"[{""form"":""possos"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	rideo	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	3	compatible	False	"[{""form"":""ridisse"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	sperno	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	3	compatible	False	"[{""form"":""spernabere"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	teneo	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	5	compatible	False	"[{""form"":""tenetibus"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	tono	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	3	compatible	False	"[{""form"":""tonandti"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	agra	NOUN	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot""]"	2	compatible	False	"[{""form"":""agrais"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	ambigo	VERB	1	1	1	1	0	corroborated_independent	"[""gaffiot"",""latin-german""]"	2	compatible	False	"[{""form"":""ambiguendum"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	decido	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german""]"	5	compatible	False	"[{""form"":""decesssero"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	elego	VERB	1	1	1	1	0	corroborated_independent	"[""gaffiot"",""latin-german""]"	2	compatible	False	"[{""form"":""eleganttissimis"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	ingredior	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german""]"	2	compatible	False	"[{""form"":""ingreder"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	jacto	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	False	"[{""form"":""jactebtur"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	pauso	VERB	1	1	1	1	0	corroborated_independent	"[""latin-german"",""ls_dict""]"	2	compatible	False	"[{""form"":""pausan"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	pereo	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german""]"	3	compatible	False	"[{""form"":""pericl"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	prodigo	VERB	1	1	1	1	0	corroborated_independent	"[""latin-german"",""ls_dict""]"	2	compatible	False	"[{""form"":""prodigei"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	recipio	VERB	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german""]"	4	compatible	False	"[{""form"":""recips"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	tia	X	1	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot""]"	2	unknown	False	"[{""form"":""tias"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	vado	VERB	1	1	1	1	0	corroborated_independent	"[""latin-german"",""ls_dict""]"	4	compatible	False	"[{""form"":""vadus"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	adfligo	VERB	1	1	1	1	0	single_source	"[""gaffiot""]"	1	unknown	False	"[{""form"":""adflixint"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	incursim	ADV	1	1	1	1	0	single_source	"[""ls_dict""]"	1	compatible	True	"[{""form"":""incursim"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	obsecro	VERB	1	1	1	1	0	single_source	"[""latin-german""]"	1	compatible	False	"[{""form"":""obsecri"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	sos	NOUN	1	1	1	1	0	single_source	"[""ls_dict""]"	1	unknown	False	"[{""form"":""sosu"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	stus	ADJ	1	1	1	1	0	single_source	"[""gaffiot""]"	1	unknown	False	"[{""form"":""stae"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	tolutaris	ADJ	1	1	1	1	0	single_source	"[""ls_dict""]"	1	unknown	False	"[{""form"":""tolutares"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	ulpianus	NOUN	9027	125	125	1	0	single_source	"[""ls_dict""]"	1	unknown	True	"[{""form"":""ulpianus"",""corpus_occurrences"":9027,""pilot_occurrences"":125,""ambiguous_cltk_lemma"":false}]"
proper_name	pomponius	NOUN	1355	9	9	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""pomponius"",""corpus_occurrences"":1355,""pilot_occurrences"":9,""ambiguous_cltk_lemma"":false}]"
proper_name	cornelius	PROPN	499	3	3	2	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	4	compatible	True	"[{""form"":""cornelius"",""corpus_occurrences"":460,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false},{""form"":""cornelii"",""corpus_occurrences"":39,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	isaac	PROPN	317	55	11	1	1	single_source	"[""ls_dict""]"	1	unknown	True	"[{""form"":""isaac"",""corpus_occurrences"":317,""pilot_occurrences"":55,""ambiguous_cltk_lemma"":true}]"
proper_name	priamus	NOUN	219	3	3	3	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""priami"",""corpus_occurrences"":89,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false},{""form"":""priamo"",""corpus_occurrences"":76,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false},{""form"":""priamum"",""corpus_occurrences"":54,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	gracchus	PROPN	210	3	2	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""gracchus"",""corpus_occurrences"":210,""pilot_occurrences"":3,""ambiguous_cltk_lemma"":false}]"
proper_name	mucius	NOUN	202	5	4	3	2	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""mucius"",""corpus_occurrences"":145,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":true},{""form"":""mucio"",""corpus_occurrences"":40,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false},{""form"":""mucii"",""corpus_occurrences"":17,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":true}]"
proper_name	ennius	PROPN	180	7	6	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""ls_dict""]"	3	compatible	True	"[{""form"":""ennius"",""corpus_occurrences"":180,""pilot_occurrences"":7,""ambiguous_cltk_lemma"":false}]"
proper_name	phoebus	NOUN	178	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	4	compatible	True	"[{""form"":""phoebi"",""corpus_occurrences"":178,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	esau	PROPN	178	53	5	1	1	single_source	"[""gaffiot""]"	1	unknown	True	"[{""form"":""esau"",""corpus_occurrences"":178,""pilot_occurrences"":53,""ambiguous_cltk_lemma"":true}]"
proper_name	troia	NOUN	165	8	8	3	1	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""troiae"",""corpus_occurrences"":163,""pilot_occurrences"":6,""ambiguous_cltk_lemma"":true},{""form"":""trōiae"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false},{""form"":""trōiam"",""corpus_occurrences"":1,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	troia	PROPN	163	1	1	1	1	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""troiae"",""corpus_occurrences"":163,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":true}]"
proper_name	mucius	PROPN	162	5	4	2	2	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""mucius"",""corpus_occurrences"":145,""pilot_occurrences"":4,""ambiguous_cltk_lemma"":true},{""form"":""mucii"",""corpus_occurrences"":17,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":true}]"
proper_name	moab	PROPN	159	2	2	1	0	single_source	"[""ls_dict""]"	1	unknown	True	"[{""form"":""moab"",""corpus_occurrences"":159,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false}]"
proper_name	joseph	PROPN	143	77	13	1	1	single_source	"[""ls_dict""]"	1	unknown	True	"[{""form"":""joseph"",""corpus_occurrences"":143,""pilot_occurrences"":77,""ambiguous_cltk_lemma"":true}]"
proper_name	papirius	PROPN	139	3	3	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	4	compatible	True	"[{""form"":""papirius"",""corpus_occurrences"":139,""pilot_occurrences"":3,""ambiguous_cltk_lemma"":false}]"
proper_name	apollonius	PROPN	137	2	1	1	0	corroborated_independent	"[""gaffiot"",""ls_dict""]"	2	unknown	True	"[{""form"":""apollonius"",""corpus_occurrences"":137,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false}]"
proper_name	ammon	PROPN	121	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	3	compatible	True	"[{""form"":""ammon"",""corpus_occurrences"":121,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	pythagoras	ADJ	118	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""pythagoras"",""corpus_occurrences"":118,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	sylla	PROPN	118	1	1	1	0	single_source	"[""ls_dict""]"	1	unknown	True	"[{""form"":""sylla"",""corpus_occurrences"":118,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	numa	PROPN	117	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	False	"[{""form"":""numa"",""corpus_occurrences"":117,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	aelius	PROPN	116	3	2	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""aelius"",""corpus_occurrences"":116,""pilot_occurrences"":3,""ambiguous_cltk_lemma"":false}]"
proper_name	horatius	ADJ	104	1	1	1	1	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	4	compatible	True	"[{""form"":""horatius"",""corpus_occurrences"":104,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":true}]"
proper_name	horatius	NOUN	104	1	1	1	1	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	4	compatible	True	"[{""form"":""horatius"",""corpus_occurrences"":104,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":true}]"
proper_name	assur	PROPN	103	2	1	1	0	single_source	"[""gaffiot""]"	1	unknown	True	"[{""form"":""assur"",""corpus_occurrences"":103,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false}]"
proper_name	atilius	PROPN	102	2	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""ls_dict""]"	3	compatible	True	"[{""form"":""atilius"",""corpus_occurrences"":102,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false}]"
proper_name	trebatius	NOUN	102	2	2	1	1	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""trebatius"",""corpus_occurrences"":102,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":true}]"
proper_name	benjamin	NOUN	98	9	5	1	1	corroborated_independent	"[""gaffiot"",""ls_dict""]"	2	unknown	True	"[{""form"":""benjamin"",""corpus_occurrences"":98,""pilot_occurrences"":9,""ambiguous_cltk_lemma"":true}]"
proper_name	mesopotamia	NOUN	97	4	2	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""mesopotamiam"",""corpus_occurrences"":97,""pilot_occurrences"":4,""ambiguous_cltk_lemma"":false}]"
proper_name	chrysippus	PROPN	92	3	2	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""ls_dict""]"	3	compatible	True	"[{""form"":""chrysippus"",""corpus_occurrences"":92,""pilot_occurrences"":3,""ambiguous_cltk_lemma"":false}]"
proper_name	aurelius	NOUN	85	3	3	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""ls_dict""]"	4	compatible	True	"[{""form"":""aurelius"",""corpus_occurrences"":85,""pilot_occurrences"":3,""ambiguous_cltk_lemma"":false}]"
proper_name	abel	PROPN	85	8	1	1	0	corroborated_independent	"[""gaffiot"",""ls_dict""]"	2	unknown	True	"[{""form"":""abel"",""corpus_occurrences"":85,""pilot_occurrences"":8,""ambiguous_cltk_lemma"":false}]"
proper_name	gracchus	ADJ	84	2	2	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""gracchum"",""corpus_occurrences"":84,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false}]"
proper_name	porcius	PROPN	81	2	2	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	4	compatible	True	"[{""form"":""porcius"",""corpus_occurrences"":81,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false}]"
proper_name	sara	NOUN	79	27	9	3	3	single_source	"[""ls_dict""]"	1	unknown	True	"[{""form"":""sara"",""corpus_occurrences"":51,""pilot_occurrences"":15,""ambiguous_cltk_lemma"":true},{""form"":""sarai"",""corpus_occurrences"":16,""pilot_occurrences"":6,""ambiguous_cltk_lemma"":true},{""form"":""saram"",""corpus_occurrences"":12,""pilot_occurrences"":6,""ambiguous_cltk_lemma"":true}]"
proper_name	tyrius	ADJ	70	1	1	1	1	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	4	compatible	True	"[{""form"":""tyrii"",""corpus_occurrences"":70,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":true}]"
proper_name	theodorus	NOUN	70	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""theodorus"",""corpus_occurrences"":70,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	ofilius	NOUN	69	3	3	2	1	single_source	"[""ls_dict""]"	1	unknown	True	"[{""form"":""ofilius"",""corpus_occurrences"":66,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":true},{""form"":""ofilium"",""corpus_occurrences"":3,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	cham	PROPN	64	7	3	1	1	corroborated_independent	"[""gaffiot"",""ls_dict""]"	2	unknown	True	"[{""form"":""cham"",""corpus_occurrences"":64,""pilot_occurrences"":7,""ambiguous_cltk_lemma"":true}]"
proper_name	abimelech	PROPN	64	19	3	1	0	single_source	"[""gaffiot""]"	1	unknown	True	"[{""form"":""abimelech"",""corpus_occurrences"":64,""pilot_occurrences"":19,""ambiguous_cltk_lemma"":false}]"
proper_name	pegasus	NOUN	61	4	3	2	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	3	compatible	True	"[{""form"":""pegasus"",""corpus_occurrences"":53,""pilot_occurrences"":3,""ambiguous_cltk_lemma"":false},{""form"":""pegaso"",""corpus_occurrences"":8,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	themistocles	PROPN	58	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""themistocles"",""corpus_occurrences"":58,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	achaia	NOUN	57	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""ls_dict""]"	6	compatible	True	"[{""form"":""achaiae"",""corpus_occurrences"":57,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	naevius	NOUN	57	3	3	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	5	compatible	True	"[{""form"":""naevius"",""corpus_occurrences"":57,""pilot_occurrences"":3,""ambiguous_cltk_lemma"":false}]"
proper_name	acilius	PROPN	56	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""ls_dict""]"	5	compatible	True	"[{""form"":""acilius"",""corpus_occurrences"":56,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	phryx	NOUN	56	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	4	compatible	True	"[{""form"":""phryges"",""corpus_occurrences"":56,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	gellius	PROPN	54	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	2	compatible	True	"[{""form"":""gellius"",""corpus_occurrences"":54,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
proper_name	sara	PROPN	51	1	1	1	1	single_source	"[""ls_dict""]"	1	unknown	True	"[{""form"":""sara"",""corpus_occurrences"":51,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":true}]"
proper_name	zabulon	NOUN	50	2	2	1	1	single_source	"[""ls_dict""]"	1	unknown	True	"[{""form"":""zabulon"",""corpus_occurrences"":50,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":true}]"
proper_name	tros	NOUN	42	2	2	2	0	corroborated_independent	"[""faria-v2-retificado"",""ls_dict""]"	3	compatible	True	"[{""form"":""troas"",""corpus_occurrences"":28,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false},{""form"":""tros"",""corpus_occurrences"":14,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
